title,description,venue,capacity,open_date,close_date,performance_dates,performance_times,upcoming_dates,upcoming_performances,seat_price,stand_price,currency,venue_url,booking_url,scrape_datetime
Online CPD: Teaching Macbeth at Key Stage 4,Enhance your teaching of Macbeth with our Online Continuing Professional Development session for Key Stage 4.,Online,N/A,WED 14 OCTOBER,WED 14 OCTOBER,WED 14 OCTOBER,5:00 PM,WED 14 OCTOBER,1,N/A,N/A,GBP,https://www.shakespearesglobe.com/whats-on/online-continuing-professional-development-teaching-macbeth-at-key-stage-4/,https://www.shakespearesglobe.com/whats-on/online-continuing-professional-development-teaching-macbeth-at-key-stage-4/#book,5/23/2026 15:18
Othello: On Stage Workshop (17-19 years),A practical acting workshop on the Sam Wanamaker Playhouse stage. For ages 17â€“19.,Bankside,N/A,SUN 24 MAY,WED 27 MAY,SUN 24 MAY | WED 27 MAY,2:00 PM | 2:30 PM,SUN 24 MAY | WED 27 MAY,2,N/A,N/A,GBP,https://www.shakespearesglobe.com/whats-on/othello-onstage-workshop-17-19-years/,https://www.shakespearesglobe.com/whats-on/othello-onstage-workshop-17-19-years/#book,5/23/2026 15:18
Research in Action: Editing in Action,"A collaborative exploration into how performance can illuminate and reshape the way we edit Shakespeare, live from our Sam Wanamaker Playhouse.",N/A,N/A,N/A,N/A,,,,0,N/A,N/A,GBP,https://www.shakespearesglobe.com/whats-on/ria-editing-in-action/,https://www.shakespearesglobe.com/whats-on/ria-editing-in-action/#book,5/23/2026 15:18
Shakespeareâ€™s True Crimes Walking Tour,"Discover the intriguing criminal history of the Bankside area and its people, including Shakespeare himself with expert guides.",Bankside,N/A,FRI 29 MAY,FRI 30 OCTOBER,FRI 29 MAY | FRI 5 JUNE | FRI 12 JUNE | FRI 19 JUNE | FRI 26 JUNE | FRI 3 JULY | FRI 10 JULY | FRI 17 JULY | FRI 24 JULY | FRI 31 JULY | FRI 7 AUGUST | FRI 14 AUGUST | FRI 21 AUGUST | FRI 28 AUGUST | FRI 4 SEPTEMBER | FRI 11 SEPTEMBER | FRI 18 SEPTEMBER | FRI 25 SEPTEMBER | FRI 2 OCTOBER | FRI 9 OCTOBER | FRI 16 OCTOBER | FRI 23 OCTOBER | FRI 30 OCTOBER,5:00 PM | 5:00 PM | 5:00 PM | 5:00 PM | 5:00 PM | 5:00 PM | 5:00 PM | 5:00 PM | 5:00 PM | 5:00 PM | 5:00 PM | 5:00 PM | 5:00 PM | 5:00 PM | 5:00 PM | 5:00 PM | 5:00 PM | 5:00 PM | 5:00 PM | 5:00 PM | 5:00 PM | 5:00 PM | 5:00 PM,FRI 29 MAY | FRI 5 JUNE | FRI 12 JUNE | FRI 19 JUNE | FRI 26 JUNE | FRI 3 JULY | FRI 10 JULY | FRI 17 JULY | FRI 24 JULY | FRI 31 JULY | FRI 7 AUGUST | FRI 14 AUGUST | FRI 21 AUGUST | FRI 28 AUGUST | FRI 4 SEPTEMBER | FRI 11 SEPTEMBER | FRI 18 SEPTEMBER | FRI 25 SEPTEMBER | FRI 2 OCTOBER | FRI 9 OCTOBER | FRI 16 OCTOBER | FRI 23 OCTOBER | FRI 30 OCTOBER,23,N/A,N/A,GBP,https://www.shakespearesglobe.com/whats-on/shakespeares-true-crimes-walking-tour/,https://www.shakespearesglobe.com/whats-on/shakespeares-true-crimes-walking-tour/#book,5/23/2026 15:18
Teaching ShakespeareThrough Performance,"Join our flagship teacher training course for continuing professional development. Over two weeks, take part in classroom workshops, seminars, lectures and rehearsals, and watch performances in the iconic Globe Theatre",N/A,N/A,N/A,N/A,,,,0,N/A,N/A,GBP,https://www.shakespearesglobe.com/whats-on/teaching-shakespeare-through-performance/,https://www.shakespearesglobe.com/whats-on/teaching-shakespeare-through-performance/#book,5/23/2026 15:18
The Tempest: Family Workshop (5-8 years),Bring Shakespeare's The Tempest to life in this fun and practical workshop for children aged 5-8 and their families.,Bankside,N/A,SUN 24 MAY,SUN 24 MAY,SUN 24 MAY,11:30 AM,SUN 24 MAY,1,N/A,N/A,GBP,https://www.shakespearesglobe.com/whats-on/the-tempest-family-workshop-5-8-years/,https://www.shakespearesglobe.com/whats-on/the-tempest-family-workshop-5-8-years/#book,5/23/2026 15:18
The Tempest: Family Workshop (9-11 years),"A fun, practical workshop on Shakespeare's strange and wonderful The Tempest. For ages 9â€“11 and their grown-ups.",Bankside,N/A,SUN 24 MAY,THU 28 MAY,SUN 24 MAY | TUE 26 MAY | WED 27 MAY | THU 28 MAY,11:30 AM | 1:00 PM | 1:00 PM | 11:30 AM,SUN 24 MAY | TUE 26 MAY | WED 27 MAY | THU 28 MAY,4,N/A,N/A,GBP,https://www.shakespearesglobe.com/whats-on/the-tempest-family-workshop-9-11-years/,https://www.shakespearesglobe.com/whats-on/the-tempest-family-workshop-9-11-years/#book,5/23/2026 15:18
Twelfth Night: Family Workshop (5-8 years),"A fun, practical workshop on Shakespeare's comedy, aimed at children aged 5â€“8 and their grown-ups.",Bankside,N/A,N/A,N/A,,,,0,N/A,N/A,GBP,https://www.shakespearesglobe.com/whats-on/twelfth-night-family-workshop-5-8-years/,https://www.shakespearesglobe.com/whats-on/twelfth-night-family-workshop-5-8-years/#book,5/23/2026 15:18
Twelfth Night: Family Workshop (9-11 years),Bring Shakespeare's whirlwind comedy to life in this fun and practical workshop aimed at children aged 9â€“11 and their grown-ups.,Bankside,N/A,TUE 26 MAY,SAT 31 OCTOBER,TUE 26 MAY | THU 28 MAY | TUE 27 OCTOBER | THU 29 OCTOBER | FRI 30 OCTOBER | SAT 31 OCTOBER,11:30 AM | 1:00 PM | 2:00 PM | 2:00 PM | 2:30 PM | 11:30 AM,TUE 26 MAY | THU 28 MAY | TUE 27 OCTOBER | THU 29 OCTOBER | FRI 30 OCTOBER | SAT 31 OCTOBER,6,N/A,N/A,GBP,https://www.shakespearesglobe.com/whats-on/twelfth-night-family-workshop-9-11-years/,https://www.shakespearesglobe.com/whats-on/twelfth-night-family-workshop-9-11-years/#book,5/23/2026 15:18
Young Actors Short Course (11-13 years),"A lively and practical course designed to bring Shakespeare to life in new, exciting ways. For young performers aged 11â€“13.",Bankside,N/A,MON 3 AUGUST,MON 26 OCTOBER,MON 3 AUGUST | MON 24 AUGUST | MON 26 OCTOBER,10:00 AM | 10:00 AM | 10:00 AM,MON 3 AUGUST | MON 24 AUGUST | MON 26 OCTOBER,3,N/A,N/A,GBP,https://www.shakespearesglobe.com/whats-on/young-actors-short-course-11-13-years/,https://www.shakespearesglobe.com/whats-on/young-actors-short-course-11-13-years/#book,5/23/2026 15:18
Young Actors Short Course (8-10 years),"A lively and practical course designed to bring Shakespeare to life in new, exciting ways. For young performers aged 8â€“10.",Bankside,N/A,TUE 26 MAY,MON 26 OCTOBER,TUE 26 MAY | MON 3 AUGUST | MON 24 AUGUST | MON 26 OCTOBER,10:00 AM | 10:00 AM | 10:00 AM | 10:00 AM,TUE 26 MAY | MON 3 AUGUST | MON 24 AUGUST | MON 26 OCTOBER,4,N/A,N/A,GBP,https://www.shakespearesglobe.com/whats-on/young-actors-short-course-8-10-years/,https://www.shakespearesglobe.com/whats-on/young-actors-short-course-8-10-years/#book,5/23/2026 15:18
